date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260513,Jackie Young,LV,LV @ CON,Rebounds,4.5,OVER,,-110,25.3,23,False,True,1,LOSS,-1.0,False
20260514,Olivia Miles,MIN,MIN @ DAL,Rebounds,4.5,UNDER,,-110,100.0,1,True,True,2,WIN,0.9091,False
20260514,Carla Leite,POR,NY @ POR,Points,15.5,UNDER,,-110,82.3,2,True,True,,VOID,0.0,False
20260514,Luisa Geiselsoder,POR,NY @ POR,Rebounds,5.5,UNDER,,-110,81.5,3,True,True,5,WIN,0.9091,False
20260514,Olivia Miles,MIN,MIN @ DAL,Points,15.5,OVER,,-110,80.0,4,True,True,15,LOSS,-1.0,False
20260514,Bridget Carleton,POR,NY @ POR,Points,14.5,UNDER,,-110,71.3,5,True,True,11,WIN,0.9091,False
20260514,Luisa Geiselsoder,POR,NY @ POR,Points,10.5,UNDER,,-110,60.8,6,True,True,6,WIN,0.9091,False
20260514,Jonquel Jones,NY,NY @ POR,Rebounds,8.5,UNDER,,-110,47.4,7,True,True,9,LOSS,-1.0,False
20260514,Pauline Astier,NY,NY @ POR,Rebounds,3.5,OVER,,-110,43.2,8,True,True,3,LOSS,-1.0,False
20260514,Alanna Smith,DAL,MIN @ DAL,Rebounds,5.5,UNDER,,-110,40.7,9,True,True,4,WIN,0.9091,False
20260514,Marine Johannes,NY,NY @ POR,Points,14.5,UNDER,,-110,39.0,10,True,True,3,WIN,0.9091,False
20260514,Pauline Astier,NY,NY @ POR,Points,12.5,OVER,,-110,32.9,11,False,True,20,WIN,0.9091,False
20260514,Betnijah Laney-Hamilton,NY,NY @ POR,Points,10.5,OVER,,-110,32.1,12,False,True,8,LOSS,-1.0,False
20260514,Breanna Stewart,NY,NY @ POR,Points,21.5,OVER,,-110,27.9,13,False,True,22,WIN,0.9091,False
20260515,Georgia Amoore,WSH,WSH @ IND,Points,9.5,UNDER,,-110,80.0,1,True,True,7,WIN,0.9091,False
20260515,Caitlin Clark,IND,WSH @ IND,Points,19.5,UNDER,,-110,71.1,2,True,True,32,LOSS,-1.0,False
20260515,Brittney Sykes,TOR,TOR @ LA,Points,15.5,UNDER,,-110,64.5,3,True,True,27,LOSS,-1.0,False
20260515,Dearica Hamby,LA,TOR @ LA,Rebounds,7.5,OVER,,-110,64.4,4,True,True,7,LOSS,-1.0,False
20260515,Nyara Sabally,TOR,TOR @ LA,Points,8.5,UNDER,,-110,62.7,5,True,True,14,LOSS,-1.0,False
20260515,Monique Billings,IND,WSH @ IND,Points,7.5,UNDER,,-110,59.0,6,True,True,10,LOSS,-1.0,False
20260515,Kelsey Mitchell,IND,WSH @ IND,Points,21.5,UNDER,,-110,58.1,7,True,True,24,LOSS,-1.0,False
20260515,Sonia Citron,WSH,WSH @ IND,Rebounds,3.5,UNDER,,-110,57.6,8,True,True,6,LOSS,-1.0,False
20260515,Kiki Iriafen,WSH,WSH @ IND,Points,14.5,OVER,,-110,56.8,9,True,True,25,WIN,0.9091,False
20260515,Aliyah Boston,IND,WSH @ IND,Points,15.5,UNDER,,-110,54.8,10,True,True,9,WIN,0.9091,False
20260515,Diamond Miller,CON,LV @ CON,Points,10.5,UNDER,,-110,54.7,11,False,True,10,WIN,0.9091,False
